"Title","RPI: Ave price - Draught lager, per pint"
"CDID","CZMS"
"Source dataset ID","MM23"
"PreUnit",""
"Unit","Pence"
"Release date","18-02-2026"
"Next release","25 March 2026"
"Important notes",
"1987","93"
"1988","99"
"1989","108"
"1990","122"
"1991","137"
"1992","146"
"1993","153"
"1994","158"
"1995","166"
"1996","173"
"1997","181"
"1998","189"
"1999","194"
"2000","200"
"2001","203"
"2002","209"
"2003","226"
"2004","233"
"2005","241"
"2006","251"
"2007","262"
"2008","274"
"2009","280"
"2010","294"
"2011","308"
"2012","318"
"2013","329"
"2014","337"
"2015","345"
"2016","348"
"2017","358"
"2018","364"
"2019","370"
"2020",""
"2021",""
"2022","410"
"2023","456"
"2024","477"
"1987 Q2","92"
"1987 Q3","93"
"1987 Q4","95"
"1988 Q1","96"
"1988 Q2","98"
"1988 Q3","100"
"1988 Q4","102"
"1989 Q1","105"
"1989 Q2","106"
"1989 Q3","109"
"1989 Q4","111"
"1990 Q1","114"
"1990 Q2","120"
"1990 Q3","125"
"1990 Q4","127"
"1991 Q1","129"
"1991 Q2","137"
"1991 Q3","141"
"1991 Q4","143"
"1992 Q1","143"
"1992 Q2","145"
"1992 Q3","147"
"1992 Q4","149"
"1993 Q1","149"
"1993 Q2","152"
"1993 Q3","154"
"1993 Q4","156"
"1994 Q1","156"
"1994 Q2","157"
"1994 Q3","160"
"1994 Q4","160"
"1995 Q1","163"
"1995 Q2","165"
"1995 Q3","167"
"1995 Q4","168"
"1996 Q1","170"
"1996 Q2","172"
"1996 Q3","175"
"1996 Q4","176"
"1997 Q1","177"
"1997 Q2","180"
"1997 Q3","184"
"1997 Q4","184"
"1998 Q1","186"
"1998 Q2","188"
"1998 Q3","190"
"1998 Q4","191"
"1999 Q1","192"
"1999 Q2","193"
"1999 Q3","195"
"1999 Q4","195"
"2000 Q1","196"
"2000 Q2","200"
"2000 Q3","201"
"2000 Q4","202"
"2001 Q1","201"
"2001 Q2","203"
"2001 Q3","204"
"2001 Q4","206"
"2002 Q1","207"
"2002 Q2","209"
"2002 Q3","210"
"2002 Q4","211"
"2003 Q1","220"
"2003 Q2","227"
"2003 Q3","228"
"2003 Q4","229"
"2004 Q1","230"
"2004 Q2","234"
"2004 Q3","234"
"2004 Q4","235"
"2005 Q1","237"
"2005 Q2","241"
"2005 Q3","243"
"2005 Q4","243"
"2006 Q1","246"
"2006 Q2","251"
"2006 Q3","253"
"2006 Q4","255"
"2007 Q1","256"
"2007 Q2","262"
"2007 Q3","264"
"2007 Q4","265"
"2008 Q1","266"
"2008 Q2","275"
"2008 Q3","276"
"2008 Q4","278"
"2009 Q1","277"
"2009 Q2","280"
"2009 Q3","282"
"2009 Q4","283"
"2010 Q1","288"
"2010 Q2","295"
"2010 Q3","296"
"2010 Q4","298"
"2011 Q1","302"
"2011 Q2","308"
"2011 Q3","310"
"2011 Q4","311"
"2012 Q1","313"
"2012 Q2","319"
"2012 Q3","320"
"2012 Q4","321"
"2013 Q1","325"
"2013 Q2","329"
"2013 Q3","330"
"2013 Q4","331"
"2014 Q1","334"
"2014 Q2","337"
"2014 Q3","337"
"2014 Q4","340"
"2015 Q1","342"
"2015 Q2","344"
"2015 Q3","345"
"2015 Q4","347"
"2016 Q1","346"
"2016 Q2","348"
"2016 Q3","349"
"2016 Q4","351"
"2017 Q1","353"
"2017 Q2","358"
"2017 Q3","359"
"2017 Q4","362"
"2018 Q1","362"
"2018 Q2","364"
"2018 Q3","365"
"2018 Q4","367"
"2019 Q1","367"
"2019 Q2","369"
"2019 Q3","371"
"2019 Q4","373"
"2020 Q1","375"
"2020 Q2",""
"2020 Q3","380"
"2020 Q4",""
"2021 Q1",""
"2021 Q2",""
"2021 Q3","388"
"2021 Q4","394"
"2022 Q1","399"
"2022 Q2","409"
